Instance             V      E       lb  ub   POP-S     POPH-SAT:lb  ub    POPH-S      ASS-S:lb  ub   ASS-S      c:lb  ub  POP-I      POPH-ILP:lb  ub   POPH-I      ASS-ILP:lb  ub   ASS-I      EC  CDCL  CLICOL
DSJC250.5            250    15668   14          37   3600.0  14           37   3600.0  14          37   3600.0  12          0   3600.0  15           0    3600.0  14          0    3600.0  3606.8  3600.0   3600.0
DSJC250.9            250    27897   44          92   3600.0  44           92   3600.0  44          92   3600.0  41          0   3600.1  47           0    3600.0  43          0    3600.0  3604.0  3600.0   3600.0
DSJC500.1            500    12458   6           16   3600.0  6            16   3600.0  6           16   3600.0  6           0   3600.0  6            0    3600.0  6           0    3600.0  3600.0  3600.0   3600.0
DSJC500.5            500    62624   15          65   3600.0  15           65   3600.0  15          65   3600.0  13          0   3600.2  14           0    3600.0  13          0    3600.0  3600.0  3600.0   3600.0
DSJC500.9            500    112437  53          170  3600.0  53           170  3600.0  53          170  3600.0  48          0   3600.1  47           0    3600.0  47          0    3600.0  3637.7  3600.0   3600.0
DSJR500.1            500    3555    12          12   0.0     12           12   0.0     12          12   0.0     12          12  1.2     12           12   0.3     12          12   0.2     255.1   0        0
DSJR500.1c           500    121275  81          89   3600.0  80           89   3600.0  80          89   3600.0  74          0   3600.1  81           0    3600.0  75          89   3600.3  695.1   3600.0   123
DSJR500.5            500    58862   122         131  3600.0  122          131  3600.0  122         131  3600.0  115         0   3600.1  122          122  334.5   122         122  1373.1  2602.2  3600.0   3600.0
flat1000_50_0        1000   245000  16          114  3600.0  16           114  3600.0  16          114  3600.0  14          0   3601.3  14           0    3600.0  14          0    3600.7  3600.0  3600.0   3600.0
flat1000_60_0        1000   245830  16          114  3600.0  16           114  3600.0  16          114  3600.0  13          0   3601.2  13           0    3600.0  13          0    3600.0  3600.0  3600.0   3600.0
flat1000_76_0        1000   246708  16          115  3600.0  16           115  3600.0  16          115  3600.0  13          0   3601.1  13           0    3600.3  13          0    3600.8  3600.0  3600.0   3600.0
flat300_20_0         300    21375   14          42   3600.0  14           42   3600.0  14          42   3600.0  11          0   3600.2  13           0    3600.0  13          0    3600.0  545.8   3600.0   3600.0
flat300_26_0         300    21633   14          41   3600.0  14           41   3600.0  14          41   3600.0  12          0   3600.1  13           0    3600.0  13          0    3600.0  901.4   3600.0   3600.0
flat300_28_0         300    21695   14          42   3600.0  14           42   3600.0  14          42   3600.0  12          0   3600.1  14           0    3600.0  14          0    3600.0  3613.3  3600.0   3600.0
fpsol2.i.1           269    11654   65          65   0.1     65           65   0.1     65          65   0.1     65          65  1.2     65           65   0.3     65          65   0.3     0.4     0        0
fpsol2.i.2           363    8691    30          30   0.1     30           30   0.2     30          30   0.0     28          30  3600.0  30           30   0.2     30          30   0.4     0.4     0        0
fpsol2.i.3           363    8688    30          30   0.0     30           30   0.0     30          30   0.0     29          30  3600.0  30           30   0.2     30          30   0.4     0.4     0        0
games120             120    638     9           9    0.0     9            9    0.0     9           9    0.0     9           9   0.0     9            9    0.0     9           9    0.0     0.0     0        0
homer                556    1629    13          13   0.0     13           13   0.0     13          13   0.0     13          13  61.2    13           13   0.1     13          13   0.1     0.1     0        0
huck                 74     301     11          11   0.0     11           11   0.0     11          11   0.0     11          11  0.2     11           11   0.0     11          11   0.0     0.0     0        0
inithx.i.1           519    18707   54          54   0.1     54           54   0.0     54          54   0.1     54          54  0.8     54           54   0.3     54          54   0.3     1.3     0        1
inithx.i.2           558    13979   31          31   0.1     31           31   0.0     31          31   0.1     29          31  3600.0  31           31   0.2     31          31   0.4     0.2     0        0
inithx.i.3           559    13969   31          31   0.1     31           31   0.2     31          31   0.1     29          31  3600.0  31           31   0.2     31          31   0.3     0.3     0        0
jean                 77     254     10          10   0.0     10           10   0.1     10          10   0.0     10          10  0.0     10           10   0.0     10          10   0.0     0.0     0        0
latin_square_10      900    307350  90          132  3600.0  90           132  3600.0  90          132  3600.0  -           -   -       -            -    -       -           -    -       3638.4  3600.0   3600.0
le450_15a            450    8168    15          15   0.8     15           15   0.3     15          15   0.4     15          16  3600.1  15           15   328.1   15          15   307.6   3633.7  4        1
le450_15b            450    8169    15          15   0.7     15           15   0.2     15          15   0.2     15          15  1039.7  15           15   567.0   15          15   293.2   3600.0  1        0
le450_15c            450    16680   15          23   3600.0  15           23   3600.0  15          23   3600.0  15          23  3600.0  15           0    3600.0  15          0    3600.7  3600.0  3600.0   212
le450_15d            450    16750   15          24   3600.0  15           24   3600.0  15          24   3600.0  15          0   3600.0  15           0    3600.0  15          0    3600.4  3600.0  3600.0   3600.0
le450_25a            450    8260    25          25   0.1     25           25   0.1     25          25   0.1     25          25  26.8    25           25   1.3     25          25   0.6     1.8     0        0
le450_25b            450    8263    25          25   0.0     25           25   0.0     25          25   0.0     25          25  10.9    25           25   0.8     25          25   0.6     1.9     0        0
le450_25c            450    17343   25          29   3600.0  25           29   3600.0  25          29   3600.0  25          29  3600.0  25           28   3600.0  25          29   3600.1  3690.4  3600.0   3600.0
le450_25d            450    17425   25          29   3600.0  25           29   3600.0  25          29   3600.0  25          29  3600.1  25           28   3600.0  25          29   3600.0  3637.8  3600.0   3600.0
le450_5a             450    5714    5           5    0.1     5            5    0.0     5           5    0.0     5           5   108.5   5            5    23.2    5           5    62.9    3600.0  41       0
le450_5b             450    5734    5           5    0.0     5            5    0.0     5           5    0.0     5           5   328.8   5            5    41.2    5           5    47.6    3600.0  9        1
le450_5c             450    9803    5           5    0.0     5            5    0.1     5           5    0.0     5           5   92.4    5            5    47.5    5           5    19.3    3600.0  2        0
le450_5d             450    9757    5           5    0.1     5            5    0.1     5           5    0.0     5           5   19.8    5            5    49.8    5           5    46.8    3584.7  2        0
miles1000            128    3216    42          42   0.1     42           42   0.1     42          42   0.1     42          42  0.5     42           42   0.1     42          42   0.1     0.1     0        0
miles1500            128    5198    73          73   0.1     73           73   0.2     73          73   0.2     73          73  0.5     73           73   0.3     73          73   0.3     0.1     0        0
miles250             125    387     8           8    0.1     8            8    0.0     8           8    0.0     8           8   0.0     8            8    0.0     8           8    0.0     0.0     0        0
miles500             128    1170    20          20   0.1     20           20   0.0     20          20   0.1     20          20  0.0     20           20   0.0     20          20   0.0     0.0     0        0
miles750             128    2113    31          31   0.0     31           31   0.0     31          31   0.0     31          31  0.1     31           31   0.1     31          31   0.1     0.0     0        0
mug100_1             100    166     4           4    0.1     4            4    0.0     4           4    0.0     4           4   0.2     4            4    0.1     4           4    0.2     0.6     0        0
mug100_25            100    166     4           4    0.0     4            4    0.0     4           4    0.0     4           4   0.2     4            4    0.4     4           4    0.2     0.5     0        0
mug88_1              88     146     4           4    0.0     4            4    0.0     4           4    0.0     4           4   0.1     4            4    0.1     4           4    0.2     0.3     0        0
mug88_25             88     146     4           4    0.0     4            4    0.0     4           4    0.0     4           4   0.2     4            4    0.1     4           4    0.2     0.3     0        0
mulsol.i.1           138    3925    49          49   0.0     49           49   0.1     49          49   0.1     49          49  0.4     49           49   0.1     49          49   0.1     0.1     0        0
mulsol.i.2           173    3885    31          31   0.0     31           31   0.0     31          31   0.0     31          31  0.3     31           31   0.1     31          31   0.1     0.0     0        1
mulsol.i.3           174    3916    31          31   0.0     31           31   0.0     31          31   0.0     31          31  0.2     31           31   0.1     31          31   0.1     0.0     0        0
mulsol.i.4           175    3946    31          31   0.0     31           31   0.0     31          31   0.0     31          31  0.4     31           31   0.1     31          31   0.1     0.0     0        0
mulsol.i.5           176    3973    31          31   0.0     31           31   0.0     31          31   0.0     30          31  3600.0  31           31   0.1     31          31   0.1     0.0     0        0
myciel3              11     20      4           4    0.0     4            4    0.1     4           4    0.0     4           4   0.0     4            4    0.0     4           4    0.0     0.0     0        0
myciel4              23     71      5           5    0.0     5            5    0.0     5           5    0.0     5           5   0.1     5            5    0.1     5           5    0.1     4.8     0        0
myciel5              47     236     6           6    0.2     6            6    0.2     6           6    0.2     6           6   37.5    6            6    42.0    6           6    44.3    3600.0  0        1
myciel6              95     755     7           7    99.4    7            7    74.3    7           7    63.6    6           7   3600.0  6            7    3600.0  5           7    3600.0  3600.1  0        1422
myciel7              191    2360    6           8    3600.0  6            8    3600.0  6           8    3600.0  5           8   3600.0  5            8    3600.0  5           8    3600.0  3600.7  0        3600.0
qg.order100          10000  990000  100         116  3600.0  100          116  3600.0  100         116  3600.0  -           -   -       -            -    -       -           -    -       3600.0  3600.0   3600.0
qg.order30           900    26100   30          30   0.8     30           30   0.4     30          30   0.5     30          35  3600.2  30           30   77.6    30          30   186.5   3600.0  0        11
qg.order40           1600   62400   40          40   7.5     40           40   1.9     40          40   2.4     40          0   3600.0  40           40   1798.7  40          43   3600.2  3600.0  8        228
qg.order60           3600   212400  60          60   1813.9  60           60   835.9   60          60   28.8    60          0   3600.1  60           62   3601.5  60          0    3600.0  3600.0  347      3600.0
queen10_10           100    1470    11          11   436.4   11           11   758.5   10          14   3600.0  10          12  3600.0  10           11   3600.0  10          12   3600.0  130.3   3600.0   3600.0
queen11_11           121    1980    11          11   404.3   11           11   2705.2  11          15   3600.0  11          13  3600.0  11           13   3600.0  11          13   3600.0  3602.3  3600.0   3600.0
queen12_12           144    2596    12          16   3600.0  12           16   3600.0  12          16   3600.0  12          15  3600.0  12           14   3600.0  12          14   3600.0  3604.7  3600.0   3600.0
queen13_13           169    3328    13          17   3600.0  13           17   3600.0  13          17   3600.0  13          16  3600.0  13           16   3600.0  13          15   3600.0  3602.3  3600.0   3600.0
queen14_14           196    4186    14          19   3600.0  14           19   3600.0  14          19   3600.0  14          17  3600.0  14           17   3600.0  14          17   3600.0  3602.4  3600.0   3600.0
queen15_15           225    5180    15          21   3600.0  15           21   3600.0  15          21   3600.0  15          19  3600.0  15           18   3600.0  15          18   3600.0  3605.0  3600.0   3600.0
queen16_16           256    6320    16          23   3600.0  16           23   3600.0  16          23   3600.0  16          21  3600.0  16           20   3600.0  16          19   3600.0  3621.9  3600.0   3600.0
queen5_5             25     160     5           5    0.0     5            5    0.0     5           5    0.1     5           5   0.0     5            5    0.0     5           5    0.0     0.0     0        0
queen6_6             36     290     7           7    0.1     7            7    0.1     7           7    0.0     7           7   0.4     7            7    0.2     7           7    0.1     0.2     0        0
queen7_7             49     476     7           7    0.0     7            7    0.0     7           7    0.0     7           7   0.3     7            7    0.2     7           7    0.3     0.5     0        0
queen8_12            96     1368    12          12   0.0     12           12   0.1     12          12   0.1     12          12  4.5     12           12   0.4     12          12   0.4     6.1     0        0
queen8_8             64     728     9           9    3.4     9            9    2.8     9           9    2.6     9           9   1199.1  9            9    132.8   9           9    31.6    4.4     1        24
queen9_9             81     1056    10          10   13.8    10           10   159.2   10          10   921.9   9           11  3600.0  10           10   251.2   10          10   789.0   7.1     21       3600.0
r1000.1              1000   14378   20          20   0.4     20           20   0.4     20          20   0.4     20          20  44.2    20           20   7.9     20          20   5.6     0.8     0        1
r1000.1c             1000   485090  84          105  3600.0  83           105  3600.0  83          105  3600.0  76          0   3601.0  77           0    3600.0  75          0    3601.0  3600.0  3600.0   3600.0
r1000.5              1000   238267  234         244  3600.0  234          244  3600.0  234         234  723.1   212         0   3600.1  212          0    3600.0  212         0    3600.0  3600.0  3600.0   3600.0
R100_1g              98     503     5           5    0.2     5            5    0.2     5           5    0.3     5           5   0.3     5            5    1.8     5           5    0.7     384.3   -        -
R100_5g              100    2456    12          18   3600.0  12           18   3600.0  12          18   3600.0  10          17  3600.0  12           16   3600.0  12          16   3600.0  2093.7  -        -
R100_9g              100    4438    35          35   511.0   35           35   64.2    35          35   63.6    32          36  3600.1  35           35   33.8    35          35   28.5    3.5     -        -
r125.1               122    209     5           5    0.0     5            5    0.0     5           5    0.0     5           5   0.0     5            5    0.0     5           5    0.0     0.0     0        0
r125.1c              125    7501    46          46   0.1     46           46   0.0     46          46   0.0     46          46  0.1     46           46   0.0     46          46   0.0     0.0     0        0
r125.5               125    3838    36          36   0.2     36           36   0.0     36          36   0.2     33          36  3600.0  36           36   0.6     36          36   1.8     11.6    0        0
r250.1               250    867     8           8    0.0     8            8    0.0     8           8    0.0     8           8   0.0     8            8    0.0     8           8    0.0     0.0     0        0
r250.1c              250    30227   64          64   0.5     64           64   0.5     64          64   0.5     64          64  0.4     64           64   0.2     64          64   0.2     36.3    3        1
r250.5               250    14849   65          65   0.5     65           65   0.4     65          65   0.6     65          67  3600.3  65           65   2.9     65          65   2.8     175.7   2        7
R50_1g               41     92      3           3    0.0     3            3    0.0     3           3    0.0     3           3   0.0     3            3    0.0     3           3    0.0     0.5     -        -
R50_5g               50     612     10          10   0.2     10           10   0.2     10          10   0.1     10          10  7.1     10           10   8.5     10          10   2.5     0.6     -        -
R50_9g               50     1092    21          21   0.1     21           21   0.0     21          21   0.1     21          21  0.1     21           21   0.0     21          21   0.0     0.2     -        -
R75_1g               69     249     4           4    0.1     4            4    0.0     4           4    0.2     4           4   0.0     4            4    0.0     4           4    0.0     1.8     -        -
R75_5g               75     1407    12          12   41.2    12           12   215.8   12          12   1122.1  10          13  3600.0  11           13   3600.0  11          13   3600.0  215.1   -        -
R75_9g               75     2513    31          36   3600.0  31           36   3600.0  31          36   3600.0  30          33  3600.0  33           33   194.2   33          33   135.1   0.6     -        -
school1              385    19095   14          14   0.2     14           14   0.1     14          14   0.2     14          14  8.4     14           14   6.5     14          14   7.3     3623.8  0        1
school1_nsh          352    14612   14          14   0.2     14           14   0.1     14          14   0.1     14          14  15.5    14           14   12.6    14          14   31.9    1911.7  0        0
wap01a               2368   110871  41          41   2013.0  41           41   2568.7  41          47   3600.0  40          0   3600.0  40           0    3600.0  40          0    3600.0  3600.0  3600.0   682
wap02a               2464   111742  40          40   1097.7  40           40   2879.0  40          47   3600.0  40          0   3600.1  40           0    3600.0  40          0    3600.0  3600.0  3600.0   657
wap03a               4730   286722  40          55   3600.0  40           55   3600.0  40          55   3600.0  40          0   3605.4  40           0    3600.2  40          0    3600.4  3600.0  3600.0   3600.0
wap04a               5231   294902  40          49   3600.0  40           49   3600.0  40          49   3600.0  40          0   3600.0  40           0    3600.0  40          0    3600.1  3600.0  3600.0   3600.0
wap05a               905    43081   50          50   0.5     50           50   0.7     50          50   1.1     40          50  3600.2  50           50   570.9   41          0    3600.0  4.3     1        2
wap06a               947    43571   40          40   64.0    40           40   340.4   40          40   380.2   40          49  3600.9  40           0    3600.0  40          47   3600.1  3600.0  3600.0   159
wap07a               1809   103368  40          45   3600.0  40           45   3600.0  40          45   3600.0  40          0   3600.0  40           0    3600.0  40          0    3600.0  3600.0  3600.0   3600.0
wap08a               1870   104176  40          40   461.2   40           40   457.8   40          40   1202.0  39          0   3600.1  40           0    3600.0  40          0    3600.0  3600.0  3600.0   3600.0
will199GPIA          701    6772    7           7    0.1     7            7    0.1     7           7    0.1     7           7   0.5     7            7    0.3     7           7    0.3     2.2     0        1
zeroin.i.1           126    4100    49          49   0.0     49           49   0.0     49          49   0.0     49          49  0.1     49           49   0.1     49          49   0.1     0.1     0        0
zeroin.i.2           157    3541    30          30   0.1     30           30   0.0     30          30   0.1     30          30  0.8     30           30   0.1     30          30   0.1     0.0     0        0
zeroin.i.3           157    3540    30          30   0.1     30           30   0.1     30          30   0.0     30          30  0.8     30           30   0.1     30          30   0.1     0.0     0        0
